Redshift r_mag g-r_col g-r_slope z_mag r-z_col r-z_slope
0.0266 13.64021632 0.8019413744 -0.027605964 -10.0 -10.0 -10.0
0.0267 13.64906334 0.8021600328 -0.027619018 -10.0 -10.0 -10.0
0.0268 13.65791036 0.8023786911999999 -0.027632072 -10.0 -10.0 -10.0
0.0269 13.66675738 0.8025973496 -0.027645126 -10.0 -10.0 -10.0
0.027 13.6756044 0.802816008 -0.02765818 -10.0 -10.0 -10.0
0.0271 13.68445142 0.8030346664 -0.027671234 -10.0 -10.0 -10.0
0.0272 13.69329844 0.8032533248 -0.027684288 -10.0 -10.0 -10.0
0.0273 13.70214546 0.8034719832 -0.027697342 -10.0 -10.0 -10.0
0.0274 13.71099248 0.8036906416 -0.027710396 -10.0 -10.0 -10.0
0.0275 13.719839499999999 0.8039092999999999 -0.02772345 -10.0 -10.0 -10.0
0.0276 13.72868652 0.8041279584 -0.027736504 -10.0 -10.0 -10.0
0.0277 13.73753354 0.8043466168 -0.027749558 -10.0 -10.0 -10.0
0.0278 13.74638056 0.8045652752 -0.027762612 -10.0 -10.0 -10.0
0.0279 13.75522758 0.8047839336 -0.027775666 -10.0 -10.0 -10.0
0.028 13.7640746 0.805002592 -0.02778872 -10.0 -10.0 -10.0
0.0281 13.77292162 0.8052212504 -0.027801774 -10.0 -10.0 -10.0
0.0282 13.78176864 0.8054399088 -0.027814828 -10.0 -10.0 -10.0
0.0283 13.79061566 0.8056585672 -0.027827881999999998 -10.0 -10.0 -10.0
0.0284 13.79946268 0.8058772256 -0.027840936 -10.0 -10.0 -10.0
0.0285 13.8083097 0.806095884 -0.02785399 -10.0 -10.0 -10.0
0.0286 13.81715672 0.8063145424 -0.027867044 -10.0 -10.0 -10.0
0.0287 13.82600374 0.8065332008 -0.027880098 -10.0 -10.0 -10.0
0.0288 13.83485076 0.8067518592 -0.027893152 -10.0 -10.0 -10.0
0.0289 13.84369778 0.8069705176 -0.027906206 -10.0 -10.0 -10.0
0.029 13.8525448 0.807189176 -0.02791926 -10.0 -10.0 -10.0
0.0291 13.86139182 0.8074078344 -0.027932314 -10.0 -10.0 -10.0
0.0292 13.87023884 0.8076264928 -0.027945367999999998 -10.0 -10.0 -10.0
0.0293 13.87908586 0.8078451512 -0.027958422 -10.0 -10.0 -10.0
0.0294 13.887932880000001 0.8080638096 -0.027971476 -10.0 -10.0 -10.0
0.0295 13.8967799 0.808282468 -0.02798453 -10.0 -10.0 -10.0
0.0296 13.90562692 0.8085011264 -0.027997584 -10.0 -10.0 -10.0
0.0297 13.91447394 0.8087197848 -0.028010638 -10.0 -10.0 -10.0
0.0298 13.92332096 0.8089384432 -0.028023692 -10.0 -10.0 -10.0
0.0299 13.932167980000001 0.8091571016 -0.028036746 -10.0 -10.0 -10.0
0.03 13.941015 0.80937576 -0.0280498 -10.0 -10.0 -10.0
0.0301 13.94730029 0.8095952768 -0.02806239 -10.0 -10.0 -10.0
0.0302 13.95358558 0.8098147936 -0.02807498 -10.0 -10.0 -10.0
0.0303 13.95987087 0.8100343104 -0.02808757 -10.0 -10.0 -10.0
0.0304 13.96615616 0.8102538272 -0.02810016 -10.0 -10.0 -10.0
0.0305 13.97244145 0.810473344 -0.02811275 -10.0 -10.0 -10.0
0.0306 13.97872674 0.8106928608 -0.02812534 -10.0 -10.0 -10.0
0.0307 13.98501203 0.8109123776 -0.02813793 -10.0 -10.0 -10.0
0.0308 13.991297320000001 0.8111318944 -0.02815052 -10.0 -10.0 -10.0
0.0309 13.99758261 0.8113514112 -0.028163109999999998 -10.0 -10.0 -10.0
0.031 14.0038679 0.811570928 -0.028175699999999998 -10.0 -10.0 -10.0
0.0311 14.01015319 0.8117904448 -0.02818829 -10.0 -10.0 -10.0
0.0312 14.01643848 0.8120099616 -0.02820088 -10.0 -10.0 -10.0
0.0313 14.02272377 0.8122294784 -0.02821347 -10.0 -10.0 -10.0
0.0314 14.02900906 0.8124489952 -0.02822606 -10.0 -10.0 -10.0
0.0315 14.035294350000001 0.812668512 -0.02823865 -10.0 -10.0 -10.0
0.0316 14.04157964 0.8128880288 -0.02825124 -10.0 -10.0 -10.0
0.0317 14.04786493 0.8131075456 -0.02826383 -10.0 -10.0 -10.0
0.0318 14.05415022 0.8133270624 -0.02827642 -10.0 -10.0 -10.0
0.0319 14.06043551 0.8135465792 -0.02828901 -10.0 -10.0 -10.0
0.032 14.0667208 0.813766096 -0.0283016 -10.0 -10.0 -10.0
0.0321 14.07300609 0.8139856128 -0.02831419 -10.0 -10.0 -10.0
0.0322 14.07929138 0.8142051296 -0.02832678 -10.0 -10.0 -10.0
0.0323 14.08557667 0.8144246464 -0.02833937 -10.0 -10.0 -10.0
0.0324 14.091861960000001 0.8146441632 -0.02835196 -10.0 -10.0 -10.0
0.0325 14.09814725 0.81486368 -0.02836455 -10.0 -10.0 -10.0
0.0326 14.10443254 0.8150831968 -0.02837714 -10.0 -10.0 -10.0
0.0327 14.11071783 0.8153027136000001 -0.02838973 -10.0 -10.0 -10.0
0.0328 14.11700312 0.8155222304 -0.028402319999999998 -10.0 -10.0 -10.0
0.0329 14.12328841 0.8157417472 -0.028414909999999998 -10.0 -10.0 -10.0
0.033 14.1295737 0.815961264 -0.0284275 -10.0 -10.0 -10.0
0.0331 14.135858990000001 0.8161807808 -0.02844009 -10.0 -10.0 -10.0
0.0332 14.14214428 0.8164002976 -0.02845268 -10.0 -10.0 -10.0
0.0333 14.148429570000001 0.8166198144 -0.02846527 -10.0 -10.0 -10.0
0.0334 14.15471486 0.8168393312 -0.02847786 -10.0 -10.0 -10.0
0.0335 14.16100015 0.8170588480000001 -0.02849045 -10.0 -10.0 -10.0
0.0336 14.16728544 0.8172783648 -0.02850304 -10.0 -10.0 -10.0
0.0337 14.17357073 0.8174978816 -0.02851563 -10.0 -10.0 -10.0
0.0338 14.17985602 0.8177173984 -0.02852822 -10.0 -10.0 -10.0
0.0339 14.18614131 0.8179369152 -0.02854081 -10.0 -10.0 -10.0
0.034 14.192426600000001 0.818156432 -0.0285534 -10.0 -10.0 -10.0
0.0341 14.19871189 0.8183759488 -0.02856599 -10.0 -10.0 -10.0
0.0342 14.20499718 0.8185954656 -0.02857858 -10.0 -10.0 -10.0
0.0343 14.21128247 0.8188149824000001 -0.02859117 -10.0 -10.0 -10.0
0.0344 14.21756776 0.8190344992 -0.02860376 -10.0 -10.0 -10.0
0.0345 14.22385305 0.819254016 -0.02861635 -10.0 -10.0 -10.0
0.0346 14.23013834 0.8194735328 -0.02862894 -10.0 -10.0 -10.0
