     Redshift       	 r_mag         	  g-r_col    	 g-r_slope       	  z_mag        	  r-z_col    	 r-z_slope   
0.470000	20.822662	1.7713795	-0.0395490	19.832365	0.99029732	-0.0190557
0.480000	20.899396	1.7764435	-0.0387663	19.886180	1.0132160	-0.0199465
0.490000	20.977873	1.7840271	-0.0379372	19.938933	1.0389404	-0.0210609
0.500000	21.050763	1.7970200	-0.0370617	19.988609	1.0621548	-0.0220886
0.510000	21.126048	1.8077927	-0.0361397	20.040389	1.0856590	-0.0228559
0.520000	21.200704	1.8157692	-0.0351714	20.090812	1.1098919	-0.0237326
0.530000	21.273088	1.8202953	-0.0341567	20.140481	1.1326065	-0.0245293
0.540000	21.342288	1.8278999	-0.0330956	20.189090	1.1531982	-0.0253029
0.550000	21.412046	1.8413925	-0.0319880	20.236911	1.1751347	-0.0261331
0.560000	21.481985	1.8518600	-0.0308341	20.283808	1.1981773	-0.0272936
0.570000	21.552075	1.8620281	-0.0296338	20.329390	1.2226849	-0.0287549
0.580000	21.622420	1.8700142	-0.0283870	20.372420	1.2500000	-0.0304336
0.590000	21.693780	1.8734474	-0.0270939	20.414113	1.2796669	-0.0320223
0.600000	21.761845	1.8909607	-0.0257543	20.455807	1.3060379	-0.0335844
0.610000	-10	-10	-10	20.502218	1.3302498	-0.0355747
0.620000	-10	-10	-10	20.551038	1.3507214	-0.0377315
0.630000	-10	-10	-10	20.599315	1.3684006	-0.0398762
0.640000	-10	-10	-10	20.648997	1.3839245	-0.0416826
0.650000	-10	-10	-10	20.698366	1.3995323	-0.0429699
0.660000	-10	-10	-10	20.743948	1.4141884	-0.0436668
0.670000	-10	-10	-10	20.787472	1.4260826	-0.0442934
0.680000	-10	-10	-10	20.830723	1.4415359	-0.0449996
0.690000	-10	-10	-10	20.872303	1.4603271	-0.0460823
0.700000	-10	-10	-10	20.912718	1.4781857	-0.0474522
0.710000	-10	-10	-10	20.954948	1.4969234	-0.0491157
0.720000	-10	-10	-10	20.996341	1.5152016	-0.0508020
0.730000	-10	-10	-10	21.035902	1.5323563	-0.0520547
0.740000	-10	-10	-10	21.074234	1.5501366	-0.0530301
0.750000	-10	-10	-10	21.111899	1.5683918	-0.0534613
0.760000	-10	-10	-10	21.146835	1.5944977	-0.0541833
0.770000	-10	-10	-10	21.178177	1.6227188	-0.0550863
0.780000	-10	-10	-10	21.210117	1.6519737	-0.0550922
0.790000	-10	-10	-10	21.238667	1.6816406	-0.0549447
0.800000	-10	-10	-10	21.267128	1.7024899	-0.0546247
0.810000	-10	-10	-10	21.299036	1.7133942	-0.0536379
0.820000	-10	-10	-10	21.331138	1.7213326	-0.0526475
0.830000	-10	-10	-10	21.362236	1.7297440	-0.0518074
0.840000	-10	-10	-10	21.393938	1.7402515	-0.0513462
0.850000	-10	-10	-10	21.424110	1.7508545	-0.0506487
0.860000	-10	-10	-10	21.455180	1.7604256	-0.0494704
0.870000	-10	-10	-10	21.486577	1.7656956	-0.0478072
0.880000	-10	-10	-10	21.517382	1.7747478	-0.0456029
0.890000	-10	-10	-10	21.546420	1.7858467	-0.0433857
0.900000	-10	-10	-10	21.573871	1.7996254	-0.0412784
0.910000	-10	-10	-10	21.604013	1.8113708	-0.0395564
0.920000	-10	-10	-10	21.632620	1.8210602	-0.0380635
0.930000	-10	-10	-10	21.662821	1.8327980	-0.0364595
0.940000	-10	-10	-10	21.693672	1.8470821	-0.0348213
0.950000	-10	-10	-10	21.723871	1.8598671	-0.0339400
0.960000	-10	-10	-10	21.754803	1.8744736	-0.0338452
0.970000	-10	-10	-10	21.787814	1.8869915	-0.0337503
0.980000	-10	-10	-10	21.820883	1.8967781	-0.0336555
0.990000	-10	-10	-10	21.852463	1.9076614	-0.0335606
1.00000	-10	-10	-10	21.881723	1.9185200	-0.0334658
1.01000	-10	-10	-10	21.912321	1.9289742	-0.0333244
1.02000	-10	-10	-10	21.944281	1.9462852	-0.0331829
1.03000	-10	-10	-10	21.975671	1.9656906	-0.0330415
1.04000	-10	-10	-10	22.006154	1.9803562	-0.0329001
1.05000	-10	-10	-10	22.035248	1.9973717	-0.0327587
1.06000	-10	-10	-10	22.063715	2.0144310	-0.0326173
1.07000	-10	-10	-10	22.093822	2.0283890	-0.0324759
1.08000	-10	-10	-10	22.124135	2.0378609	-0.0323344
1.09000	-10	-10	-10	22.152594	2.0614586	-0.0321930
1.10000	-10	-10	-10	22.180514	2.0705109	-0.0320516
1.11000	-10	-10	-10	22.207953	2.0871391	-0.0320309
1.12000	-10	-10	-10	22.234258	2.1040573	-0.0320101
1.13000	-10	-10	-10	22.261960	2.1184082	-0.0319894
1.14000	-10	-10	-10	22.294749	2.1267166	-0.0319687
1.15000	-10	-10	-10	22.328808	2.1307411	-0.0319479
1.16000	-10	-10	-10	22.364204	2.1434021	-0.0319272
1.17000	-10	-10	-10	22.397742	2.1613197	-0.0319065
1.18000	-10	-10	-10	22.430352	2.1782532	-0.0318857
1.19000	-10	-10	-10	22.464071	2.1928024	-0.0318650
1.20000	-10	-10	-10	22.497886	2.2080765	-0.0318443
1.21000	-10	-10	-10	22.528016	2.2274513	-0.0318656
1.22000	-10	-10	-10	22.560947	2.2225227	-0.0318869
1.23000	-10	-10	-10	22.592509	2.2314453	-0.0319083
1.24000	-10	-10	-10	22.621245	2.2487183	-0.0319296
1.25000	-10	-10	-10	22.648132	2.2588768	-0.0319509
1.26000	-10	-10	-10	22.674021	2.2700119	-0.0319723
1.27000	-10	-10	-10	22.699118	2.2985306	-0.0319936
1.28000	-10	-10	-10	22.724530	2.3056107	-0.0320149
1.29000	-10	-10	-10	22.747311	2.3294678	-0.0320363
1.30000	-10	-10	-10	22.768818	2.3508987	-0.0320576
1.31000	-10	-10	-10	22.790509	2.3599777	-0.0319528
1.32000	-10	-10	-10	22.811346	2.3881454	-0.0318481
1.33000	-10	-10	-10	22.830183	2.4174080	-0.0317433
1.34000	-10	-10	-10	22.849701	2.4397278	-0.0316386
1.35000	-10	-10	-10	22.867381	2.4648170	-0.0315338
1.36000	-10	-10	-10	22.888704	2.5010109	-0.0315225
1.37000	-10	-10	-10	22.909092	2.5064163	-0.0315112
